canonical_class,defect_name,part_name,expected_quality_state,good_row_count,defect_row_count,ambiguous_row_count,row_count,unique_image_count,label_types,rule_violation_count,violation_examples
균열_도장,균열,도장,defect,0,14859,0,14859,10736,segmentation+bbox,0,
균열_보온재,균열,보온재,defect,0,13397,0,13397,11206,segmentation+bbox,0,
도막떨어짐_도장,도막떨어짐,도장,defect,0,11952,0,11952,10939,segmentation+bbox,0,
도막떨어짐_케이블,도막떨어짐,케이블,defect,0,17,0,17,10,segmentation+bbox,0,
도막떨어짐_케이블타이,도막떨어짐,케이블타이,defect,0,468,0,468,359,segmentation+bbox,0,
도막떨어짐_파이프,도막떨어짐,파이프,defect,0,5,0,5,4,segmentation+bbox,0,
도막분리_도장,도막분리,도장,defect,0,10721,0,10721,10716,segmentation+bbox,0,
도막분리_케이블타이,도막분리,케이블타이,defect,0,2,0,2,2,segmentation+bbox,0,
도장흐름_도장,도장흐름,도장,defect,0,11653,0,11653,11196,segmentation+bbox,0,
바인딩불량_케이블타이,바인딩불량,케이블타이,defect,0,11090,0,11090,10891,segmentation+bbox,0,
바인딩양품_케이블타이,바인딩양품,케이블타이,good,2359,0,0,2359,2235,segmentation+bbox,0,
보온재손상_보온재,보온재손상,보온재,defect,0,10982,0,10982,10879,segmentation+bbox,0,
볼트체결불량_케이블그랜드,볼트체결불량,케이블그랜드,defect,0,5,0,5,5,bbox,0,
볼트체결불량_파이프,볼트체결불량,파이프,defect,0,10097,0,10097,10048,bbox,0,
볼트체결양품_케이블그랜드,볼트체결양품,케이블그랜드,good,97,0,0,97,93,bbox,0,
볼트체결양품_파이프,볼트체결양품,파이프,good,5275,0,0,5275,4005,bbox,0,
스크래치_도장,스크래치,도장,defect,0,13421,0,13421,11693,segmentation+bbox,0,
스크래치_모재,스크래치,모재,defect,0,10911,0,10911,9663,segmentation+bbox,0,
스크래치_보온재,스크래치,보온재,defect,0,13427,0,13427,11721,segmentation+bbox,0,
스크래치_조인트,스크래치,조인트,defect,0,706,0,706,600,segmentation+bbox,0,
스크래치_케이블,스크래치,케이블,defect,0,6,0,6,5,segmentation+bbox,0,
스크래치_케이블타이,스크래치,케이블타이,defect,0,10,0,10,10,segmentation+bbox,0,
용접불량_도장,용접불량,도장,defect,0,1,0,1,1,segmentation+bbox,0,
용접불량_조인트,용접불량,조인트,defect,0,6053,0,6053,6051,segmentation+bbox,0,
용접블로우홀_조인트,용접블로우홀,조인트,defect,0,10014,0,10014,10012,segmentation+bbox,0,
용접양품_도장,용접양품,도장,good,1,0,0,1,1,segmentation+bbox,0,
용접양품_보온재,용접양품,보온재,good,1,0,0,1,1,segmentation+bbox,0,
용접양품_조인트,용접양품,조인트,good,6198,0,0,6198,6197,segmentation+bbox,0,
절단불량_모재,절단불량,모재,defect,0,9501,0,9501,9499,segmentation+bbox,0,
절단불량_보온재,절단불량,보온재,defect,0,10644,0,10644,10642,segmentation+bbox,0,
절단양품_모재,절단양품,모재,good,3246,0,0,3246,3235,segmentation+bbox,0,
절단양품_보온재,절단양품,보온재,good,5269,0,0,5269,5219,segmentation+bbox,0,
케이블설치불량_케이블그랜드,케이블설치불량,케이블그랜드,defect,0,4640,0,4640,4637,bbox,0,
케이블설치양품_케이블그랜드,케이블설치양품,케이블그랜드,good,4628,0,0,4628,2903,bbox,0,
케이블손상_케이블,케이블손상,케이블,defect,0,5937,0,5937,5376,segmentation+bbox,0,
케이블손상_케이블타이,케이블손상,케이블타이,defect,0,14,0,14,14,segmentation+bbox,0,
케이블양품_케이블,케이블양품,케이블,good,3065,0,0,3065,2477,segmentation+bbox,0,
탱크클리닝불량_모재,탱크클리닝불량,모재,defect,0,20748,0,20748,20748,classification,0,
폼스프레이불량_우레탄폼,폼스프레이불량,우레탄폼,defect,0,12388,0,12388,12388,classification,0,
폼스프레이양품_우레탄폼,폼스프레이양품,우레탄폼,good,5256,0,0,5256,5256,classification,0,
표면양품_도장,표면양품,도장,good,12909,0,0,12909,12909,classification,0,
표면양품_모재,표면양품,모재,good,20029,0,0,20029,20029,classification,0,
표면양품_보온재,표면양품,보온재,good,17121,0,0,17121,17121,classification,0,
